,ADT,Short,Medium,Long
0,9,13,13,9
1,18,17,17,18
2,10,11,11,10
3,19,19,19,21
4,10,10,10,11
5,10,11,11,13
6,7,16,16,14
7,24,26,26,22
8,23,30,30,23
9,8,9,9,8
10,13,19,19,19
11,15,15,15,15
12,18,19,19,20
13,14,14,14,20
14,10,11,11,13
15,14,14,14,18
16,15,15,15,16
17,11,11,11,12
18,21,20,20,18
19,22,18,18,47
20,19,19,19,15
21,12,14,14,24
22,12,14,14,13
23,15,16,16,17
24,6,13,13,6
25,8,13,13,9
26,12,15,15,12
27,18,19,19,16
28,12,14,14,12
29,11,19,19,17
30,18,15,15,20
31,12,13,13,12
32,20,17,17,18
33,20,24,24,23
34,7,12,12,12
35,9,10,10,10
36,30,30,30,27
37,12,17,17,13
38,7,9,9,12
39,9,14,14,13
40,12,16,16,17
41,11,22,22,26
42,5,6,6,7
43,11,12,12,11
44,14,14,14,21
45,12,12,12,15
46,7,15,15,18
47,18,18,18,20
48,16,18,18,19
49,14,14,14,24
50,8,13,13,12
51,15,18,18,19
52,22,17,17,22
53,9,13,13,16
54,13,14,14,17
55,9,12,12,12
56,14,16,16,14
57,12,15,15,16
58,12,18,18,12
59,12,12,12,12
60,10,10,10,10
61,13,15,15,13
62,8,8,8,13
63,12,13,13,12
64,17,17,17,16
65,20,22,22,21
66,10,11,11,14
67,6,12,12,12
68,20,28,28,23
69,17,17,17,19
70,10,21,21,15
71,8,8,8,11
72,10,10,10,10
73,11,11,11,11
74,7,19,19,16
75,7,8,8,11
76,17,20,20,21
77,15,15,15,15
78,9,22,22,15
79,17,18,18,19
80,10,17,17,17
81,12,13,13,14
82,18,16,16,18
83,22,15,15,28
84,22,18,18,26
85,14,28,28,13
86,9,15,15,9
87,13,13,13,16
88,21,21,21,21
89,10,14,14,16
90,20,19,19,22
91,10,11,11,10
92,10,10,10,21
93,16,19,19,18
94,10,11,11,10
95,21,19,19,21
96,5,7,7,7
97,16,15,15,15
98,12,12,12,18
99,19,24,24,19
